product_id,title,category,price,discount_pct,final_price,rating,num_reviews,availability,seller,scraped_date,product_url
WSP0001,Ultra Wireless Lamp,Fashion,1263.75,5,1200.56,4.4,42,Out of Stock,ShopPlus,2025-05-27,https://example-shop.com/product/WSP0001
WSP0002,Eco Bluetooth Headphones,Sports,616.95,30,431.87,3.9,42,Out of Stock,OfficialStore,2025-04-01,https://example-shop.com/product/WSP0002
WSP0003,Classic Deluxe Headphones,Sports,1003.44,25,752.58,3.5,39,Out of Stock,OfficialStore,2024-08-20,https://example-shop.com/product/WSP0003
WSP0004,Eco Compact Headphones,Sports,1282.64,30,897.85,2.9,41,In Stock,ShopPlus,2024-09-25,https://example-shop.com/product/WSP0004
WSP0005,Classic Bluetooth Speaker,Sports,406.14,15,345.22,3.3,34,In Stock,OfficialStore,2025-03-26,https://example-shop.com/product/WSP0005
WSP0006,Classic Deluxe Speaker,Home,410.35,5,389.83,4.4,116,Limited Stock,OfficialStore,2025-07-18,https://example-shop.com/product/WSP0006
WSP0007,Ultra Compact Charger,Beauty,547.99,25,410.99,4.2,28,Limited Stock,TopSeller,2025-04-22,https://example-shop.com/product/WSP0007
WSP0008,Ultra Deluxe Speaker,Fashion,817.74,15,695.08,2.8,47,Limited Stock,OfficialStore,2025-03-11,https://example-shop.com/product/WSP0008
WSP0009,Smart Portable Charger,Electronics,1049.0,25,786.75,4.7,98,Out of Stock,DealsHub,2025-04-09,https://example-shop.com/product/WSP0009
WSP0010,Premium Bluetooth Speaker,Fashion,792.05,0,792.05,3.7,37,In Stock,QuickMart,2025-04-27,https://example-shop.com/product/WSP0010
WSP0011,Ultra Portable Backpack,Fashion,494.99,15,420.74,4.4,46,In Stock,TopSeller,2025-04-06,https://example-shop.com/product/WSP0011
WSP0012,Smart Portable Charger,Beauty,1479.77,0,1479.77,3.6,34,In Stock,OfficialStore,2024-08-29,https://example-shop.com/product/WSP0012
WSP0013,Classic Portable Charger,Toys,1101.89,30,771.32,3.9,33,Limited Stock,QuickMart,2024-10-16,https://example-shop.com/product/WSP0013
WSP0014,Eco Portable Headphones,Toys,135.57,10,122.01,4.1,39,Limited Stock,TopSeller,2024-10-18,https://example-shop.com/product/WSP0014
WSP0015,Premium Wireless Headphones,Beauty,1176.47,25,882.35,3.9,41,Limited Stock,ShopPlus,2025-06-13,https://example-shop.com/product/WSP0015
WSP0016,Eco Bluetooth Headphones,Electronics,1238.44,15,1052.67,4.0,111,Limited Stock,OfficialStore,2025-07-06,https://example-shop.com/product/WSP0016
WSP0017,Eco Portable Charger,Toys,423.84,15,360.26,3.5,40,Limited Stock,TopSeller,2024-11-13,https://example-shop.com/product/WSP0017
WSP0018,Classic Wireless Headphones,Sports,700.37,15,595.31,2.8,48,In Stock,ShopPlus,2024-08-14,https://example-shop.com/product/WSP0018
WSP0019,Eco Portable Charger,Fashion,890.81,25,668.11,3.6,46,Out of Stock,OfficialStore,2025-01-02,https://example-shop.com/product/WSP0019
WSP0020,Ultra Deluxe Backpack,Electronics,1622.96,30,1136.07,3.5,132,Limited Stock,OfficialStore,2025-05-20,https://example-shop.com/product/WSP0020
WSP0021,Smart Bluetooth Charger,Toys,561.35,20,449.08,5.0,40,In Stock,OfficialStore,2024-08-23,https://example-shop.com/product/WSP0021
WSP0022,Pro Deluxe Watch,Home,531.01,20,424.81,4.1,118,Limited Stock,ShopPlus,2025-07-06,https://example-shop.com/product/WSP0022
WSP0023,Ultra Compact Watch,Home,363.15,30,254.2,4.1,126,Limited Stock,DealsHub,2025-01-20,https://example-shop.com/product/WSP0023
WSP0024,Smart Bluetooth Headphones,Toys,148.66,5,141.23,5.0,31,In Stock,ShopPlus,2025-04-24,https://example-shop.com/product/WSP0024
WSP0025,Pro Wireless Lamp,Toys,862.85,15,733.42,3.9,42,Limited Stock,ShopPlus,2024-08-16,https://example-shop.com/product/WSP0025
WSP0026,Eco Portable Charger,Sports,557.01,10,501.31,3.6,35,In Stock,QuickMart,2024-11-04,https://example-shop.com/product/WSP0026
WSP0027,Classic Bluetooth Speaker,Electronics,1558.33,5,1480.41,4.4,132,Limited Stock,QuickMart,2025-07-24,https://example-shop.com/product/WSP0027
WSP0028,Classic Portable Headphones,Sports,929.74,30,650.82,3.5,36,Out of Stock,OfficialStore,2024-09-19,https://example-shop.com/product/WSP0028
WSP0029,Classic Compact Speaker,Home,439.73,25,329.8,3.4,140,In Stock,QuickMart,2024-09-24,https://example-shop.com/product/WSP0029
WSP0030,Smart Portable Speaker,Toys,1232.02,20,985.62,4.4,62,Limited Stock,QuickMart,2025-06-06,https://example-shop.com/product/WSP0030
WSP0031,Eco Portable Charger,Beauty,994.92,25,746.19,4.4,43,In Stock,OfficialStore,2025-02-12,https://example-shop.com/product/WSP0031
WSP0032,Pro Portable Headphones,Home,749.93,0,749.93,4.5,92,Out of Stock,ShopPlus,2024-09-11,https://example-shop.com/product/WSP0032
WSP0033,Eco Wireless Mixer,Automotive,1016.36,25,762.27,4.3,39,Limited Stock,DealsHub,2024-09-13,https://example-shop.com/product/WSP0033
WSP0034,Pro Compact Backpack,Fashion,376.62,30,263.63,2.3,52,In Stock,DealsHub,2025-04-23,https://example-shop.com/product/WSP0034
WSP0035,Smart Bluetooth Backpack,Fashion,904.83,30,633.38,2.6,37,Limited Stock,DealsHub,2025-05-26,https://example-shop.com/product/WSP0035
WSP0036,Classic Deluxe Charger,Beauty,1347.88,15,1145.7,3.1,43,In Stock,OfficialStore,2024-12-03,https://example-shop.com/product/WSP0036
WSP0037,Ultra Bluetooth Lamp,Home,439.76,5,417.77,3.3,105,In Stock,ShopPlus,2024-12-05,https://example-shop.com/product/WSP0037
WSP0038,Classic Portable Speaker,Sports,840.99,5,798.94,3.5,39,Out of Stock,TopSeller,2025-01-24,https://example-shop.com/product/WSP0038
WSP0039,Eco Bluetooth Speaker,Sports,890.67,0,890.67,3.5,47,In Stock,DealsHub,2025-04-10,https://example-shop.com/product/WSP0039
WSP0040,Pro Deluxe Speaker,Beauty,1269.38,20,1015.5,3.6,49,Limited Stock,TopSeller,2025-08-07,https://example-shop.com/product/WSP0040
WSP0041,Premium Deluxe Watch,Toys,257.23,0,257.23,3.9,39,In Stock,OfficialStore,2024-09-18,https://example-shop.com/product/WSP0041
WSP0042,Classic Bluetooth Lamp,Electronics,1148.69,10,1033.82,4.1,129,In Stock,TopSeller,2024-09-26,https://example-shop.com/product/WSP0042
WSP0043,Premium Wireless Lamp,Toys,602.01,20,481.61,3.5,33,In Stock,QuickMart,2024-08-16,https://example-shop.com/product/WSP0043
WSP0044,Classic Bluetooth Watch,Electronics,1959.87,15,1665.89,4.2,122,Limited Stock,TopSeller,2025-03-09,https://example-shop.com/product/WSP0044
WSP0045,Ultra Bluetooth Headphones,Fashion,337.15,20,269.72,3.0,42,In Stock,QuickMart,2024-09-26,https://example-shop.com/product/WSP0045
WSP0046,Premium Wireless Lamp,Toys,1275.44,0,1275.44,4.9,45,In Stock,ShopPlus,2025-03-15,https://example-shop.com/product/WSP0046
WSP0047,Eco Deluxe Headphones,Electronics,1267.99,5,1204.59,3.3,105,In Stock,OfficialStore,2025-04-19,https://example-shop.com/product/WSP0047
WSP0048,Ultra Bluetooth Charger,Beauty,1140.03,10,1026.03,4.1,33,Limited Stock,TopSeller,2024-08-28,https://example-shop.com/product/WSP0048
WSP0049,Pro Wireless Watch,Beauty,929.27,0,929.27,4.6,42,In Stock,TopSeller,2025-06-22,https://example-shop.com/product/WSP0049
WSP0050,Smart Wireless Backpack,Fashion,1138.32,0,1138.32,4.1,27,Out of Stock,QuickMart,2025-07-01,https://example-shop.com/product/WSP0050
